Date,Open,High,Low,Close,Adj Close,Volume
2024-01-09,1.370000,1.370000,1.370000,1.370000,1.370000,6100
2024-01-10,1.370000,1.370000,1.370000,1.370000,1.370000,0
2024-01-11,1.300000,1.300000,1.300000,1.300000,1.300000,5100
2024-01-12,1.360000,1.360000,1.360000,1.360000,1.360000,6100
2024-01-16,1.310000,1.310000,1.300000,1.300000,1.300000,5100
2024-01-17,1.200000,1.280000,1.200000,1.280000,1.280000,1400
2024-01-18,1.220000,1.220000,1.180000,1.210000,1.210000,366900
2024-01-19,1.240000,1.250000,1.200000,1.240000,1.240000,24100
2024-01-22,1.280000,1.280000,1.250000,1.250000,1.250000,73500
2024-01-23,1.200000,1.290000,1.200000,1.290000,1.290000,2400
2024-01-24,1.320000,1.350000,1.290000,1.350000,1.350000,10100
2024-01-25,1.350000,1.350000,1.250000,1.280000,1.280000,5700
2024-01-26,1.190000,1.200000,1.140000,1.180000,1.180000,77000
2024-01-29,1.160000,1.160000,1.090000,1.120000,1.120000,21200
2024-01-30,1.030000,1.030000,1.030000,1.030000,1.030000,500
2024-01-31,1.100000,1.100000,1.040000,1.040000,1.040000,6700
2024-02-01,1.050000,1.050000,1.020000,1.020000,1.020000,10000
2024-02-02,1.050000,1.090000,1.000000,1.090000,1.090000,581500
2024-02-05,1.090000,1.090000,1.000000,1.050000,1.050000,20600
2024-02-06,1.080000,1.080000,1.080000,1.080000,1.080000,572100
2024-02-07,1.080000,1.080000,1.040000,1.040000,1.040000,579100
2024-02-08,1.070000,1.070000,1.070000,1.070000,1.070000,1000
2024-02-09,1.040000,1.040000,1.030000,1.030000,1.030000,1700
2024-02-12,1.050000,1.050000,1.040000,1.050000,1.050000,41800
2024-02-13,1.030000,1.030000,1.030000,1.030000,1.030000,24000
2024-02-14,1.030000,1.030000,1.030000,1.030000,1.030000,4000
2024-02-15,1.050000,1.060000,1.050000,1.060000,1.060000,24600
2024-02-16,1.070000,1.070000,1.060000,1.070000,1.070000,2900
2024-02-20,1.100000,1.100000,1.030000,1.060000,1.060000,26100
2024-02-21,1.040000,1.040000,1.040000,1.040000,1.040000,2200
2024-02-22,1.100000,1.160000,1.100000,1.100000,1.100000,10100
2024-02-23,1.100000,1.100000,1.100000,1.100000,1.100000,0
2024-02-26,1.160000,1.160000,1.120000,1.120000,1.120000,10900
2024-02-27,1.150000,1.200000,1.150000,1.160000,1.160000,5600
2024-02-28,1.160000,1.160000,1.110000,1.110000,1.110000,600
2024-02-29,1.090000,1.090000,1.050000,1.050000,1.050000,8200
2024-03-01,1.100000,1.160000,1.100000,1.140000,1.140000,2900
2024-03-04,1.200000,1.320000,1.200000,1.280000,1.280000,6200
2024-03-05,1.240000,1.240000,1.170000,1.230000,1.230000,4700
2024-03-06,1.230000,1.250000,1.230000,1.250000,1.250000,2000
