Summary statistics:

Variable,Observations,Obs. with missing data,Obs. without missing data,Minimum,Maximum,Mean,Std. deviation,,,,
LNVGF Adj Close,253,0,253,0.912,1.500,1.146,0.134,,,,
MSI Adj Close,253,0,253,269.904,379.350,313.512,30.585,,,,


Box-Cox transformation (LNVGF Adj Close):

Lambda = 0

Series before and after transformation(LNVGF Adj Close):

Time,LNVGF Adj Close,Box-Cox(LNVGF Adj Close)
205,1.120,0.113
206,1.130,0.122
207,1.130,0.122
208,1.130,0.122
209,1.130,0.122
210,1.060,0.058
211,1.050,0.049
212,1.020,0.020
213,1.050,0.049
214,1.100,0.095
215,1.070,0.068
216,1.050,0.049
217,1.060,0.058
218,1.050,0.049
219,1.050,0.049
220,1.130,0.122
221,1.170,0.157
222,1.100,0.095
223,1.100,0.095
224,1.150,0.140
225,1.170,0.157
226,1.170,0.157
227,1.170,0.157
228,1.170,0.157
229,1.300,0.262
230,1.300,0.262
231,1.310,0.270
232,1.320,0.278
233,1.320,0.278
234,1.310,0.270
235,1.320,0.278
236,1.320,0.278
237,1.330,0.285
238,1.480,0.392
239,1.400,0.336
240,1.430,0.358
241,1.480,0.392
242,1.460,0.378
243,1.500,0.405
244,1.460,0.378
245,1.450,0.372
246,1.400,0.336
247,1.430,0.358
248,1.500,0.405
249,1.340,0.293
250,1.340,0.293
251,1.410,0.344
252,1.380,0.322
253,1.350,0.300



Box-Cox transformation (MSI Adj Close):

Lambda = 0

Series before and after transformation(MSI Adj Close):

Time,MSI Adj Close,Box-Cox(MSI Adj Close)
1,276.608,5.623
2,275.815,5.620
3,279.740,5.634
4,277.738,5.627
5,276.608,5.623
6,278.640,5.630
7,281.137,5.639
8,276.113,5.621
9,277.877,5.627
10,281.335,5.640
11,280.998,5.638
12,286.003,5.656
13,290.651,5.672
14,290.136,5.670
15,290.116,5.670
16,292.970,5.680
17,289.254,5.667
18,292.326,5.678
19,293.644,5.682
20,292.217,5.677
21,289.541,5.668
22,288.451,5.665
23,288.877,5.666
24,288.104,5.663
25,289.343,5.668
26,292.861,5.680
27,293.535,5.682
28,292.911,5.680
29,295.289,5.688
30,292.752,5.679
31,289.075,5.667
32,288.441,5.664
33,284.061,5.649
34,285.547,5.654
35,285.071,5.653
36,285.131,5.653
37,276.350,5.622
38,277.896,5.627
39,275.310,5.618
40,278.699,5.630
41,279.462,5.633
42,283.397,5.647
43,282.485,5.644
44,278.769,5.630
45,279.115,5.632
46,274.973,5.617
47,275.191,5.617
48,274.676,5.616
49,273.417,5.611
50,275.300,5.618
51,273.130,5.610
52,276.281,5.621
53,278.362,5.629
54,279.502,5.633
55,280.651,5.637
56,281.028,5.638
57,281.137,5.639
58,278.550,5.630
59,278.402,5.629
60,279.878,5.634
61,279.968,5.635
62,280.969,5.638
63,278.778,5.630
64,277.569,5.626
65,283.166,5.646
66,281.556,5.640
67,285.721,5.655
68,284.131,5.649
69,284.071,5.649
70,277.540,5.626
71,276.118,5.621
72,275.044,5.617
73,271.903,5.605
74,271.386,5.604
75,272.589,5.608
76,270.650,5.601
77,271.326,5.603
78,269.904,5.598
79,272.628,5.608
80,271.634,5.604
81,274.527,5.615
82,284.638,5.651
83,283.385,5.647
84,285.920,5.656
85,286.596,5.658
86,286.467,5.658
87,291.607,5.675
88,288.157,5.664
89,286.537,5.658
90,280.293,5.636
91,279.607,5.633
92,277.798,5.627
93,279.796,5.634
94,278.872,5.631
95,273.235,5.610
96,270.799,5.601
97,274.607,5.615
98,276.834,5.623
99,278.862,5.631
100,279.528,5.633
101,297.671,5.696
102,302.801,5.713
103,303.199,5.714
104,307.384,5.728
105,306.996,5.727
106,309.203,5.734
107,307.832,5.730
108,310.436,5.738
109,312.285,5.744
110,315.407,5.754
111,316.391,5.757
112,317.564,5.761
113,318.121,5.762
114,317.654,5.761
115,318.966,5.765
116,318.797,5.765
117,316.600,5.758
118,317.177,5.759
119,320.984,5.771
120,323.420,5.779
121,321.770,5.774
122,322.664,5.777
123,320.587,5.770
124,321.471,5.773
125,322.625,5.776
126,324.504,5.782
127,327.039,5.790
128,325.031,5.784
129,314.919,5.752
130,309.615,5.735
131,314.062,5.750
132,312.078,5.743
133,308.508,5.732
134,309.664,5.735
135,308.966,5.733
136,309.116,5.734
137,309.535,5.735
138,310.183,5.737
139,312.197,5.744
140,310.751,5.739
141,311.110,5.740
142,310.861,5.739
143,308.278,5.731
144,311.968,5.743
145,311.120,5.740
146,314.142,5.750
147,313.384,5.747
148,315.408,5.754
149,314.750,5.752
150,316.126,5.756
151,320.055,5.768
152,325.350,5.785
153,324.063,5.781
154,328.531,5.795
155,327.414,5.791
156,327.653,5.792
157,325.170,5.784
158,325.818,5.786
159,326.586,5.789
160,318.589,5.764
161,324.223,5.781
162,326.686,5.789
163,324.372,5.782
164,324.452,5.782
165,326.995,5.790
166,327.414,5.791
167,329.946,5.799
168,319.177,5.766
169,318.310,5.763
170,318.479,5.764
171,322.976,5.778
172,319.576,5.767
173,322.119,5.775
174,323.894,5.780
175,330.096,5.799
176,329.328,5.797
177,327.613,5.792
178,327.743,5.792
179,330.305,5.800
180,329.448,5.797
181,334.603,5.813
182,334.813,5.814
183,330.864,5.802
184,336.568,5.819
185,333.247,5.809
186,334.454,5.812
187,337.066,5.820
188,339.449,5.827
189,342.700,5.837
190,342.690,5.837
191,344.190,5.841
192,340.030,5.829
193,345.800,5.846
194,346.030,5.847
195,349.170,5.856
196,348.560,5.854
197,347.920,5.852
198,347.610,5.851
199,353.410,5.868
200,354.980,5.872
201,353.590,5.868
202,352.070,5.864
203,350.350,5.859
204,347.930,5.852
205,352.300,5.864
206,352.030,5.864
207,352.960,5.866
208,347.450,5.851
209,348.740,5.854
210,343.810,5.840
211,338.580,5.825
212,340.110,5.829
213,340.510,5.830
214,339.460,5.827
215,339.650,5.828
216,345.230,5.844
217,345.550,5.845
218,345.110,5.844
219,349.020,5.855
220,346.480,5.848
221,347.690,5.851
222,339.150,5.826
223,336.000,5.817
224,336.240,5.818
225,353.700,5.868
226,349.640,5.857
227,358.170,5.881
228,359.020,5.883
229,360.110,5.886
230,362.850,5.894
231,358.000,5.881
232,361.050,5.889
233,365.030,5.900
234,366.410,5.904
235,367.800,5.908
236,368.430,5.909
237,369.740,5.913
238,371.070,5.916
239,363.350,5.895
240,364.600,5.899
241,359.890,5.886
242,357.110,5.878
243,359.690,5.885
244,364.910,5.900
245,366.400,5.904
246,369.220,5.911
247,370.650,5.915
248,370.470,5.915
249,371.060,5.916
250,373.800,5.924
251,376.900,5.932
252,379.350,5.938
253,376.710,5.931
